No.,Device Name,Model Name,Description,Spec
MOSFET,,,,
,nfet_03v3,nfet_03v3,3.3V NMOS (Outside DNWELL),YI-141-SM064
,nfet_03v3_dn,nfet_03v3,3.3V NMOS (Inside DNWELL),YI-141-SM064
,pfet_03v3,pfet_03v3,3.3V PMOS (Outside DNWELL),YI-141-SM064
,pfet_03v3_dn,pfet_03v3,3.3V PMOS (Inside DNWELL),YI-141-SM064
,nfet_05v0,nfet_06v0,5V NMOS (Outside DNWELL) (with V5_XTOR mark layer),YI-141-SM064
,nfet_05v0_dn,nfet_06v0,5V NMOS (Inside DNWELL) (with V5_XTOR mark layer),YI-141-SM064
,pfet_05v0,pfet_06v0,5V PMOS (Outside DNWELL) (with V5_XTOR mark layer),YI-141-SM064
,pfet_05v0_dn,pfet_06v0,5V PMOS (Inside DNWELL) (with V5_XTOR mark layer),YI-141-SM064
,nfet_06v0,nfet_06v0,6V NMOS (Outside DNWELL),YI-141-SM064
,nfet_06v0_dn,nfet_06v0,6V NMOS (Inside DNWELL),YI-141-SM064
,pfet_06v0,pfet_06v0,6V PMOS (Outside DNWELL),YI-141-SM064
,pfet_06v0_dn,pfet_06v0,6V PMOS (Inside DNWELL),YI-141-SM064
,nfet_06v0_nvt,nfet_06v0_nvt,6V Native NMOS,YI-141-SM064
,nfet_10v0_asym,nfet_10v0_asym,LD-NMOS (Asymmetrical),SM-BB-000149
,pfet_10v0_asym,pfet_10v0_asym,LD-PMOS (Asymmetrical),SM-BB-000149
BJT,,,,
,npn_10p00x10p00,npn_10p00x10p00,"VNPN (Nplus-LVPWELL-DNWELL), emitter size 10um x 10um",YI-141-SM064
,npn_05p00x05p00,npn_05p00x05p00,"VNPN (Nplus-LVPWELL-DNWELL), emitter size 5um x 5um",YI-141-SM064
,npn_00p54x16p00,npn_00p54x16p00,"VNPN (Nplus-LVPWELL-DNWELL), emitter size 0p54um x 16um",YI-141-SM064
,npn_00p54x08p00,npn_00p54x08p00,"VNPN (Nplus-LVPWELL-DNWELL), emitter size 0p54um x 8um",YI-141-SM064
,npn_00p54x04p00,npn_00p54x04p00,"VNPN (Nplus-LVPWELL-DNWELL), emitter size 0p54um x 4um",YI-141-SM064
,npn_00p54x02p00,npn_00p54x02p00,"VNPN (Nplus-LVPWELL-DNWELL), emitter size 0p54um x 2um",YI-141-SM064
,pnp_10p00x10p00,pnp_10p00x10p00,"VPNP (Pplus-Nwell-Psub), emitter size 10um x 10um",YI-141-SM064
,pnp_05p00x05p00,pnp_05p00x05p00,"VPNP (Pplus-Nwell-Psub), emitter size 5um x 5um",YI-141-SM064
,pnp_10p00x00p42,pnp_10p00x00p42,"VPNP (Pplus-Nwell-Psub), emitter size 0p42um x 10um",YI-141-SM064
,pnp_05p00x00p42,pnp_05p00x00p42,"VPNP (Pplus-Nwell-Psub), emitter size 0p42um x 5um",YI-141-SM064
DIODE,,,,
,diode_nd2ps_03v3,diode_nd2ps_03v3,3.3V N+/LVPWELL diode (Outside DNWELL),YI-141-SM064
,diode_nd2ps_03v3_dn,diode_nd2ps_03v3,3.3V N+/LVPWELL diode (Inside DNWELL),YI-141-SM064
,diode_nd2ps_06v0,diode_nd2ps_06v0,5V/6V N+/LVPWELL Diode (Outside DNWELL),YI-141-SM064
,diode_nd2ps_06v0_dn,diode_nd2ps_06v0,5V/6V N+/LVPWELL Diode (Inside DNWELL),YI-141-SM064
,diode_pd2nw_03v3,diode_pd2nw_03v3,3.3V  P+/Nwell diode (Outside DNWELL),YI-141-SM064
,diode_pd2nw_03v3_dn,diode_pd2nw_03v3,3.3V  P+/Nwell diode (Inside DNWELL),YI-141-SM064
,diode_pd2nw_06v0,diode_pd2nw_06v0,5V/6V P+/Nwell diode (Outside DNWELL),YI-141-SM064
,diode_pd2nw_06v0_dn,diode_pd2nw_06v0,5V/6V P+/Nwell diode (Inside DNWELL),YI-141-SM064
,diode_nw2ps_03v3,diode_nw2ps_03v3,3.3V Nwell/Psub diode,YI-141-SM064
,diode_nw2ps_06v0,diode_nw2ps_06v0,5V/6V Nwell/Psub diode,YI-141-SM064
,diode_pw2dw_03v3,diode_pw2dw,3.3V LVPWELL/DNWELL diode,YI-141-SM064
,diode_pw2dw_06v0,diode_pw2dw,5V/6V LVPWELL/DNWELL diode,YI-141-SM064
,diode_dw2ps_03v3,diode_dw2ps,3.3V DWENLL/Psub diode,YI-141-SM064
,diode_dw2ps_06v0,diode_dw2ps,5V/6V DWENLL/Psub diode,YI-141-SM064
,sc_diode,sc_diode,Schottky diode,YI-141-SM064
RESISTOR,,,,
,nplus_u,nplus_u,3-terminal unsalicided n+ diffusion resistor (Outside DNWELL),YI-141-SM064
,nplus_u_dw,nplus_u,3-terminal unsalicided n+ diffusion resistor (Inside DNWELL),YI-141-SM064
,pplus_u,pplus_u,3-terminal unsalicided P+ diffusion resistor (Outsdie DNWELL),YI-141-SM064
,pplus_u_dw,pplus_u,3-terminal unsalicided P+ diffusion resistor (Inside DNWELL),YI-141-SM064
,nplus_s,nplus_s,3-terminal salicided n+ diffusion resistor (Outside DNWELL),YI-141-SM064
,nplus_s_dw,nplus_s,3-terminal salicided n+ diffusion resistor (Inside DNWELL),YI-141-SM064
,pplus_s,pplus_s,3-terminal salicided P+ diffusion resistor (Outside DNWELL),YI-141-SM064
,pplus_s_dw,pplus_s,3-terminal salicided P+ diffusion resistor (Inside DNWELL),YI-141-SM064
,nwell,nwell,3-terminal Nwell resistor under STI (Outside DNWELL),YI-141-SM064
,pwell,pwell,3-terminal LVPWELL resistor under STI (Inside DNWELL only),YI-141-SM064
,npolyf_u,npolyf_u,3-terminal unsalicided n+ poly resistor (Outside DNWELL),YI-141-SM064
,npolyf_u_dw,npolyf_u,3-terminal unsalicided n+ poly resistor (Inside DNWELL),YI-141-SM064
,ppolyf_u,ppolyf_u,3-terminal unsalicided p+ poly resistor (Outside DNWELL),YI-141-SM064
,ppolyf_u_dw,ppolyf_u,3-terminal unsalicided p+ poly resistor (Inside DNWELL),YI-141-SM064
,npolyf_s,npolyf_s,3-terminal salicided n+ poly resistor (Outside DNWELL),YI-141-SM064
,npolyf_s_dw,npolyf_s,3-terminal salicided n+ poly resistor (Inside DNWELL),YI-141-SM064
,ppolyf_s,ppolyf_s,3-terminal salicided p+ poly resistor (Outside DNWELL),YI-141-SM064
,ppolyf_s_dw,ppolyf_s,3-terminal salicided p+ poly resistor (Inside DNWELL),YI-141-SM064
,ppolyf_u_1k,ppolyf_u_1k,"1k high-Rs p+ poly resistor (3.3V area, outside DNWELL)",YI-141-SM064
,ppolyf_u_1k_dw,ppolyf_u_1k,"1k high-Rs p+ poly resistor (3.3V area, inside DNWELL)",YI-141-SM064
,ppolyf_u_2k,ppolyf_u_2k,"2k high-Rs p+ poly resistor (3.3V area, outside DNWELL)",YI-141-SM064
,ppolyf_u_2k_dw,ppolyf_u_2k,"2k high-Rs p+ poly resistor (3.3V area, inside DNWELL)",YI-141-SM064
,ppolyf_u_3k,ppolyf_u_3k,"3k high-Rs p+ poly resistor (3.3V area, outside DNWELL)",YI-141-SM064
,ppolyf_u_3k_dw,ppolyf_u_3k,"3k high-Rs p+ poly resistor (3.3V area, inside DNWELL)",YI-141-SM064
,ppolyf_u_1k_6p0,ppolyf_u_1k_6p0,"1k high-Rs p+ poly resistor (5V/6V area, outside DNWELL)",YI-141-SM064
,ppolyf_u_1k_6p0_dw,ppolyf_u_1k_6p0,"1k high-Rs p+ poly resistor (5V/6V area, inside DNWELL)",YI-141-SM064
,ppolyf_u_2k_6p0,ppolyf_u_2k_6p0,"2k high-Rs p+ poly resistor (5V/6V area, outside DNWELL)",YI-141-SM064
,ppolyf_u_2k_6p0_dw,ppolyf_u_2k_6p0,"2k high-Rs p+ poly resistor (5V/6V area, inside DNWELL)",YI-141-SM064
,ppolyf_u_3k_6p0,ppolyf_u_3k,"3k high-Rs p+ poly resistor (5V/6V area, outside DNWELL)",YI-141-SM064
,ppolyf_u_3k_6p0_dw,ppolyf_u_3k,"3k high-Rs p+ poly resistor (5V/6V area, inside DNWELL)",YI-141-SM064
,rm1,rm1,2-terminal Metal 1 resistor,YI-141-SM064
,rm2,rm2,2-terminal Metal 2 resistor,YI-141-SM064
,rm3,rm3,2-terminal Metal 3 resistor,YI-141-SM064
,tm6k,tm6k,2-terminal 6K Metal Top resistor,YI-141-SM064
,tm9k,tm9k,2-terminal 9K Metal Top resistor,YI-141-SM064
,tm11k,tm11k,2-terminal 11K Metal Top resistor,YI-141-SM064
,tm30k,tm30k,2-terminal 30K Top Metal resistor,YI-141-SM064
CAPACITOR (MIM),,,,
,cap_mim_1p0fF,cap_mim_1p0fF,1.0fF/um2 MIM capacitor,YI-141-SM064
,cap_mim_1p5fF,cap_mim_1p5fF,1.5fF/um2 MIM capacitor,YI-141-SM064
,cap_cap_mim_2p0fF,cap_mim_2p0fF,2.0fF/um2 MIM capacitor,YI-141-SM064
CAPACITOR (MOS),,,,
,cap_nmos_03v3,cap_nmos_03v3,3.3V NMOS capacitor (Outside DNWELL),YI-141-SM064
,cap_nmos_03v3_dn,cap_nmos_03v3,3.3V NMOS capacitor (Inside DNWELL),YI-141-SM064
,cap_pmos_03v3,cap_pmos_03v3,3.3V PMOS capacitor (Outside DNWELL),YI-141-SM064
,cap_pmos_03v3_dn,cap_pmos_03v3,3.3V PMOS capacitor (Inside DNWELL),YI-141-SM064
,cap_nmos_06v0,cap_nmos_06v0,5V/6V NMOS capacitor (Outside DNWELL),YI-141-SM064
,cap_nmos_06v0_dn,cap_nmos_06v0,5V/6V NMOS capacitor (inside DNWELL),YI-141-SM064
,cap_pmos_06v0,cap_pmos_06v0,5V/6V PMOS capacitor (Outside DNWELL),YI-141-SM064
,cap_pmos_06v0_dn,cap_pmos_06v0,5V/6V PMOS capacitor (Outside DNWELL),YI-141-SM064
,cap_nmos_03v3_b,cap_nmos_03v3_b,3.3V NMOS capacitor (inside NWell),YI-141-SM064
,cap_pmos_03v3_b,cap_pmos_03v3_b,3.3V PMOS capacitor (inside Psub),YI-141-SM064
,,,,
,cap_nmos_06v0_b,cap_nmos_06v0_b,5V/6V NMOS capacitor (inside NWell),YI-141-SM064
,cap_pmos_06v0_b,cap_pmos_06v0_b,5V/6V PMOS capacitor (inside Psub),YI-141-SM064
ESD (SAB MOSFET),,,,
,nfet_03v3_dss,nfet_03v3_dss,3.3V SAB NMOS (Outside DNWELL),YI-141-SM064
,nfet_03v3_dn_dss,nfet_03v3_dss,3.3V SAB NMOS (Inside DNWELL),YI-141-SM064
,nfet_05v0_dss,nfet_06v0_dss,5V SAB NMOS (Outside DNWELL) (with V5_XTOR mark layer),YI-141-SM064
,nfet_05v0_dn_dss,nfet_06v0_dss,5V SAB NMOS (Inside DNWELL) (with V5_XTOR mark layer),YI-141-SM064
,nfet_06v0_dss,nfet_06v0_dss,6V SAB NMOS (Outside DNWELL),YI-141-SM064
,nfet_06v0_dn_dss,nfet_06v0_dss,6V SAB NMOS (Inside DNWELL),YI-141-SM064
,pfet_03v3_dss,pfet_03v3_dss,3.3V SAB PMOS (Outside DNWELL),YI-141-SM064
,pfet_03v3_dn_dss,pfet_03v3_dss,3.3V SAB PMOS (Inside DNWELL),YI-141-SM064
,pfet_05v0_dss,pfet_06v0_dss,5V SAB PMOS (Outside DNWELL) (with V5_XTOR mark layer),YI-141-SM064
,pfet_05v0_dn_dss,pfet_06v0_dss,5V SAB PMOS (Inside DNWELL) (with V5_XTOR mark layer),YI-141-SM064
,pfet_06v0_dss,pfet_06v0_dss,6V SAB PMOS (Outside DNWELL),YI-141-SM064
,pfet_06v0_dn_dss,pfet_06v0_dss,6V SAB PMOS (Inside DNWELL),YI-141-SM064
eFuse,,,,
,eFuse,efuse,Eletrically programmable fuse element,YI-141-SM064
